职能,公司名称,地址,薪资,发布日期
量化投资（FOF研究员）,深圳市前海九派资本管理合伙企业（有限合伙）,深圳  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
数据分析师/D轮/准上市公司,小熊U租,深圳-福田区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
市场研究分析师,深圳世联君汇不动产运营管理股份有限公司,深圳-南山区  |  1年经验  |  硕士  |  招1人,0.8-1万/月,03-08发布
数据分析师,深圳市三希软件科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招5人,0.6-1.5万/月,03-08发布
云平台运维工程师,赛尔网络有限公司深圳分公司,深圳-龙岗区  |  1年经验  |  大专  |  招1人,8-9千/月,03-08发布
运维工程师,深圳市奋达科技股份有限公司,深圳  |  2年经验  |  本科  |  招2人,0.7-1.2万/月,03-08发布
计算机视觉算法工程师,深圳市名家汇科技股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,1.5-2.2万/月,03-08发布
测试工程师,明源软件,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.3-2万/月,03-08发布
算法工程师,深圳市百年智教育科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-08发布
数据分析师,深圳市新财富多媒体经营有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,2-2.5万/月,03-08发布
反欺诈策略分析师,绿信集团,深圳-福田区  |  2年经验  |  本科  |  招若干人,1.2-1.8万/月,03-08发布
数据工程师/BI工程师,深圳市易思酷尔科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招1人,0.8-1.5万/月,03-08发布
生物信息分析,深圳核子华曦医学检验实验室,深圳-南山区  |  2年经验  |  本科  |  招1人,1.2-1.5万/月,03-08发布
电力建模与算法设计工程师,清科优能（深圳）技术有限公司,深圳-南山区  |  1年经验  |  硕士  |  招1人,1-2万/月,03-08发布
销售代表,深圳市领盛信息技术有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招若干人,0.8-1.2万/月,03-08发布
测试开发,赫名迪科技（深圳）有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
FAE工程师,深圳市金泰克半导体有限公司,深圳-坪山区  |  1年经验  |  硕士  |  招2人,2-2.5万/月,03-08发布
软件工程师,深圳市冠准科技有限公司,深圳  |  2年经验  |  本科  |  招3人,0.8-2万/月,03-08发布
系统工程师,深圳市欣易辰信息科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1-2万/月,03-08发布
算法工程师,深圳天游网络科技有限公司,深圳-福田区  |  2年经验  |  硕士  |  招1人,1.5-3万/月,03-08发布
自动化测试,汕尾市铁人信息技术有限公司,异地招聘  |  2年经验  |  本科  |  招3人,1-1.3万/月,03-08发布
初级云运维工程师,东软云科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1万/月,03-08发布
NLP算法工程师,青牛智胜（深圳）科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-3万/月,03-08发布
移动APP开发工程师,深圳市金奥博科技股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,03-08发布
结算专员-应收,麦佳跨境物流科技（深圳）有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招若干人,6-9千/月,03-08发布
运维工程师,深圳市亚辉龙生物科技股份有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招若干人,1.5-2万/月,03-08发布
测试工程师-深圳,中电福富信息科技有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-1.5万/月,03-08发布
Linux运维工程师(深圳）,广州市灵通新技术有限公司,深圳  |  2年经验  |  大专  |  招1人,8-10万/年,03-08发布
IT运维工程师,天马精密注塑（深圳）有限公司,深圳-龙华区  |  2年经验  |  大专  |  招1人,6-8千/月,03-08发布
渗透测试工程师,大连金慧融智科技股份有限公司,深圳-福田区  |  2年经验  |  大专  |  招若干人,1.3-1.5万/月,03-08发布
测试工程师,深圳市亚启科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招3人,0.5-1万/月,03-08发布
测试工程师,深圳市威视达康科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-08发布
功能测试,深圳弘广商科技有限公司,深圳  |  2年经验  |  大专  |  招10人,2-3.5万/月,03-08发布
计算机视觉开发工程师,深圳市天彦通信股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,1.5-2.5万/月,03-08发布
量化研究员,深圳本地资本管理有限公司,深圳-龙岗区  |  1年经验  |  硕士  |  招1人,30-40万/年,03-08发布
数据挖掘工程师,明阳智慧能源集团股份公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1-2万/月,03-08发布
网络规划高级专员,深圳市丰巢网络技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,2.4-3.5万/月,03-08发布
少儿编程老师,深圳市编享教育科技有限公司,深圳-龙华区  |  1年经验  |  本科  |  招6人,0.8-1万/月,03-08发布
车载网关产品经理,锦图计算技术（深圳）有限公司,深圳  |  2年经验  |  本科  |  招1人,2-2.5万/月,03-08发布
医学图像算法工程师,深圳睿心智能医疗科技有限公司,深圳-南山区  |  2年经验  |  硕士  |  招2人,2-4万/月,03-07发布
后台系统开发工程师,盈峰资本管理有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,20-30万/年,03-07发布
导航算法工程师,千巡科技（深圳）有限公司,深圳-宝安区  |  1年经验  |  本科  |  招1人,1.2-2.5万/月,03-07发布
算法开发工程师,深圳市柏为信息技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-07发布
数据分析主管工程师,宝能汽车销售有限公司,深圳-龙华区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-07发布
变电自动化信息安全工程师,越亮传奇科技股份有限公司,深圳-福田区  |  2年经验  |  大专  |  招3人,1-1.5万/月,03-07发布
编程老师,深圳市原子同学书诚教育科技有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-07发布
测试工程师（云计算/容器方向/深圳）(J12260),北京天融信科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1-1.5万/月,03-07发布
初级数据分析员,深圳市中投顾问股份有限公司,深圳-福田区  |  1年经验  |  本科  |  招若干人,6-8万/年,03-07发布
图像算法工程师,深圳阿斯克医疗有限公司,深圳-龙岗区  |  2年经验  |  硕士  |  招2人,1.5-2万/月,03-09发布
算法工程师,深圳市岩尚科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招4人,1-2万/月,03-07发布
数据分析师,深圳前海思空文化传播有限公司,深圳-宝安区  |  1年经验  |  本科  |  招1人,0.8-1万/月,03-07发布
视觉神经网络算法工程师,深圳市睿联技术股份有限公司,深圳  |  1年经验  |  硕士  |  招2人,1.5-2.5万/月,03-07发布
产品测试工程师,绿诺能源科技（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,0.8-1万/月,03-06发布
电子产品测试工程师(TE）,富泰华工业（深圳）有限公司,深圳  |  1年经验  |  本科  |  招5人,6-8千/月,03-06发布
SYY304-图像识别工程师,长园深瑞继保自动化有限公司,深圳  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,03-06发布
蓝牙耳机测试工程师,深圳市美恩微电子有限公司,深圳-龙华区  |  2年经验  |  大专  |  招2人,0.8-1.2万/月,03-06发布
工程师,深圳湾实验室,深圳-光明新区  |  1年经验  |  本科  |  招1人,1-1.5万/月,03-06发布
机械研发工程师,深圳吉兰丁智能科技有限公司,深圳  |  2年经验  |  本科  |  招1人,0.6-2万/月,03-06发布
音频蓝牙软件工程师,深圳市安特信技术有限公司,深圳-宝安区  |  2年经验  |  本科  |  招若干人,0.8-1.5万/月,03-06发布
生物信息分析工程师,深圳市坤健创新药物研究院,深圳-龙华区  |  1年经验  |  本科  |  招5人,0.5-1万/月,03-06发布
IC验证工程师,深圳市爱协生科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1.5-3万/月,03-06发布
海外技术工程师,深圳市恒扬数据股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-06发布
推荐算法工程师,深圳鲲鹏云智科技有限公司,深圳-宝安区  |  2年经验  |  硕士  |  招1人,2-4万/月,03-06发布
现场工程师,深圳市比一比网络科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招若干人,1-1.5万/月,03-06发布
图像算法工程师,深圳市灰度科技有限公司,深圳  |  2年经验  |  本科  |  招1人,2-2.5万/月,03-06发布
FAE工程师,深圳史河机器人科技有限公司,深圳-龙华区  |  1年经验  |  本科  |  招2人,0.8-1.5万/月,03-06发布
数据分析师,深圳市天创进科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.8万/月,03-06发布
数据分析师,深圳市前海手绘科技文化有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,03-06发布
05411Q-固收交易员（策略交易方向）,平安证券股份有限公司,深圳-福田区  |  1年经验  |  硕士  |  招1人,1.5-2万/月,03-06发布
算法工程师,深圳市佳运通电子有限公司,深圳  |  2年经验  |  本科  |  招3人,1.5-2.5万/月,03-06发布
智能产品线总监,百胜（深圳）医疗设备有限公司,深圳-南山区  |  1年经验  |  博士  |  招若干人,2-6万/月,03-06发布
总裁办-高级商务数据分析师,泊恩（广州）医疗管理服务有限公司,深圳-罗湖区  |  2年经验  |  招1人,2-2.5万/月,03-06发布
软件工程师,珠海汉迪自动化设备有限公司,异地招聘  |  1年经验  |  大专  |  招1人,0.5-1.2万/月,03-06发布
自动化测试工程师,赞同科技股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,0.9-1.4万/月,03-06发布
软件测试工程师,深圳市元道通信技术有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,5-8千/月,03-06发布
测试工程师,深圳市智城时代科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.6-1.2万/月,03-06发布
亚马逊数据分析师,深圳市益镓华科技有限公司,深圳-福田区  |  1年经验  |  大专  |  招2人,1-1.5万/月,03-06发布
数据开发工程师,上海砾阳软件有限公司,深圳-福田区  |  1年经验  |  本科  |  招20人,0.8-1.3万/月,03-06发布
量化研究员（CTA或股票方向）,中安鼎盛投资（深圳）有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,24-50万/年,03-05发布
BI报表开发工程师,深圳斯达领科网络科技有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招6人,1.2-2.4万/月,03-05发布
高级心电算法工程师,杭州德晋医疗科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,2-2.5万/月,03-05发布
数据分析师,华普特科技（深圳）股份有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,1.5-2.5万/月,03-05发布
渗透测试工程师(J10352),深圳昂楷科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招2人,1-1.5万/月,03-05发布
运维工程师,深圳市富韬供应链管理有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-05发布
软件测试工程师,深圳极联信息技术股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,0.8-1万/月,03-05发布
PIE工程师,尼尔林技术咨询（深圳）有限公司,深圳-福田区  |  2年经验  |  大专  |  招3人,1-1.5万/月,03-05发布
软件测试工程师,合肥嘉源锐信软件有限公司,异地招聘  |  2年经验  |  本科  |  招3人,0.6-1.2万/月,03-05发布
数据分析专员（电商）,深圳市宝睿思科技有限公司,深圳-宝安区  |  1年经验  |  大专  |  招2人,0.8-1万/月,03-05发布
信息安全工程师,深圳市珍爱网信息技术有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-05发布
服务器运维工程师,深圳麦克维尔空调有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,1-1.8万/月,03-05发布
运营数据分析,深圳市富龙小额贷款有限公司,深圳-龙华区  |  1年经验  |  本科  |  招1人,1-1.6万/月,03-05发布
安全运维工程师,深圳市建筑科学研究院股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,0.8-1.2万/月,03-05发布
算法工程师,深圳市飞耶软件有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-05发布
数据运营专员,深圳市墨者安全科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招2人,0.8-1万/月,03-05发布
Design Verification Test Engineer,朗美通通讯技术（深圳）有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1万/月,03-05发布
图像处理工程师（微波传感研发中心）,深圳航天科技创新研究院,深圳  |  2年经验  |  本科  |  招1人,2-4万/月,03-05发布
感知算法（传感器方向）,云鲸智能科技（东莞）有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,1.5-2.5万/月,03-05发布
高级产品经理,深圳希施玛数据科技有限公司,深圳-南山区  |  1年经验  |  博士  |  招1人,2.5-3.5万/月,03-05发布
网络工程师,广州市讯方信息科技有限公司,深圳  |  1年经验  |  大专  |  招5人,0.6-1.5万/月,03-05发布
数据分析岗（风险管理部）,深圳南山宝生村镇银行股份有限公司,深圳  |  2年经验  |  本科  |  招1人,10-20万/年,03-05发布
Docker容器工程师,深圳市蓝德信诺科技有限公司,深圳-福田区  |  1年经验  |  大专  |  招2人,1-2万/月,03-05发布
算法工程师,西人马（深圳）科技有限公司,深圳-南山区  |  2年经验  |  硕士  |  招3人,1.5-2.5万/月,03-05发布
Linux运维工程师,深圳市智策科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招3人,0.8-1.3万/月,03-05发布
图像算法工程师,深圳德技创新实业有限公司,深圳-南山区  |  2年经验  |  大专  |  招2人,1.5-2.5万/月,03-05发布
测试工程师,深圳洪堡科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1.2万/月,03-05发布
系统运维工程师（云计算）,深圳市瑞云科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招2人,0.8-1.2万/月,03-05发布
AI算法应用支持工程师,深圳市芯智科技有限公司,深圳  |  2年经验  |  本科  |  招若干人,1.2-2.4万/月,03-05发布
感知融合工程师,三斧科技（北京）有限公司,异地招聘  |  1年经验  |  本科  |  招2人,2.5-4万/月,03-05发布
运维工程师,深圳市爱夫卡科技股份有限公司,深圳  |  2年经验  |  大专  |  招1人,7-9千/月,03-05发布
节能服务工程师,深圳市中电电力技术股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招3人,0.8-1.3万/月,03-05发布
无人机软件开发工程师,深圳市中芯教育科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1万/月,03-05发布
Power BI数据产品经理,深圳悦策科技有限公司,深圳  |  2年经验  |  本科  |  招若干人,0.7-1.2万/月,03-05发布
TWS耳机测试工程师,深圳市亚昱科技有限公司,深圳-宝安区  |  1年经验  |  大专  |  招2人,0.6-1.5万/月,03-05发布
软件测试工程师,深圳市数智海洋科技有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招3人,0.7-1.5万/月,03-04发布
数字IC验证工程师,深圳市盈和致远科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.8-4万/月,03-04发布
软件测试—有英语要求,信必优(深圳)信息技术有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1万/月,03-04发布
控制算法测试工程师,深圳市科曼医疗设备有限公司,深圳-光明新区  |  2年经验  |  本科  |  招2人,0.8-1.2万/月,03-04发布
安全服务专家,华青融天（北京）软件股份有限公司深圳分公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.4-2万/月,03-04发布
应用运维工程师,顺丰航空有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1-2万/月,03-04发布
图像算法工程师,深圳市华尊科技股份有限公司,深圳-南山区  |  1年经验  |  硕士  |  招2人,1.5-2.5万/月,03-04发布
初级生物信息工程师,深圳裕策生物科技有限公司,深圳-盐田区  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,03-04发布
现场应用工程师,苏州市精创测控技术有限公司,深圳  |  2年经验  |  大专  |  招5人,1-1.5万/月,03-04发布
软件测试工程师,深圳市青葡萄科技有限公司,深圳  |  1年经验  |  本科  |  招1人,0.8-1.1万/月,03-04发布
steam教育机器人教学主管,蓝疆创新（深圳）科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招1人,0.8-1.2万/月,03-04发布
算法工程师（异构计算）,深圳致星科技有限公司,深圳-南山区  |  1年经验  |  硕士  |  招1人,1.7-2.6万/月,03-04发布
UE4引擎师,深圳市视闻泓韵文化传播有限公司,深圳-福田区  |  2年经验  |  大专  |  招若干人,1.2-2万/月,03-04发布
Linux运维工程师,联想云领（成都）科技有限公司,异地招聘  |  1年经验  |  本科  |  招10人,1-1.5万/月,03-04发布
ETL工程师,深圳市拓安信计控仪表有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.2-2万/月,03-04发布
AI算法工程师(CV方向),北京未来便利技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,2-2.5万/月,03-04发布
风控建模师,深圳宇创时代科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1.7-2.3万/月,03-04发布
软件研发测试工程师,深圳市儒科电子有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-2万/月,03-04发布
数字后端设计工程师,深圳智微电子科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招5人,1.5-3万/月,03-04发布
计算机视觉工程师,深圳市斯普莱特激光科技有限公司,深圳-龙华区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-04发布
混合式移动前端开发,深圳市宸臻科技有限公司,深圳  |  2年经验  |  本科  |  招1人,2-2.7万/月,03-04发布
机器学习算法工程师,蘑菇物联技术（深圳）有限公司,深圳-龙华区  |  2年经验  |  硕士  |  招1人,3-4万/月,03-04发布
测试开发工程师,合肥杰发科技有限公司深圳分公司,深圳-南山区  |  1年经验  |  本科  |  招2人,1.3-2万/月,03-03发布
应用工程师（FAE）,深圳市中承科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招2人,0.5-1万/月,03-03发布
数据分析师,周大福珠宝金行（深圳）有限公司,深圳-盐田区  |  2年经验  |  本科  |  招2人,1.3-1.8万/月,03-03发布
算法工程师,深圳前海联动云汽车租赁有限公司,深圳-龙华区  |  2年经验  |  硕士  |  招1人,1.5-2万/月,03-03发布
双足步态算法工程师,乐聚（深圳）机器人技术有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1.2-2.2万/月,03-03发布
数据分析师,深圳市理然化妆品有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-03发布
安全渗透运维工程师,广东有为信息科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-03发布
人工智能应用工程师,深圳华侨城文化旅游科技集团有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,03-03发布
软件测试工程师,深圳市伊尚智能运动有限公司,深圳  |  2年经验  |  大专  |  招2人,0.8-1万/月,03-03发布
测试工程师,深圳市金证前海金融科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招4人,1-2.5万/月,03-03发布
运维工程师（工程技术处）,深圳市大数据研究院,深圳-龙岗区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-03发布
web测试工程师,深圳市尚游网络科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,0.8-1.1万/月,03-02发布
软件实施工程师（深圳）,上海华讯网络系统有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,1-1.5万/月,03-02发布
数据分析师,深圳市寻麟文化娱乐有限公司,深圳-宝安区  |  2年经验  |  本科  |  招若干人,0.9-1.2万/月,03-02发布
Amazon运营支持专员,深圳万拓科技创新有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.8-1万/月,03-02发布
数据运营专员,新东方国际教育培训事业部,深圳-南山区  |  2年经验  |  本科  |  招1人,0.8-1.2万/月,03-02发布
Java前端开发工程师,国信期货有限责任公司,深圳-罗湖区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-02发布
自动化软件测试工程师,万魔声学股份有限公司,深圳-南山区  |  2年经验  |  大专  |  招2人,1-1.6万/月,03-02发布
营运质量管理专员,广东顺心快运有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.9-1.1万/月,03-02发布
DBA工程师,深圳市国显科技有限公司,深圳  |  2年经验  |  本科  |  招1人,1.8-2万/月,03-02发布
运维工程师,上海博为峰软件技术有限公司,深圳-福田区  |  1年经验  |  大专  |  招2人,0.8-1.2万/月,03-02发布
绩效专员/主管,深圳易世通达科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,5-8千/月,03-02发布
相机测试工程师,北京湛腾世纪科技有限公司,异地招聘  |  2年经验  |  大专  |  招3人,0.6-1万/月,03-02发布
硬件工程师,亚创（上海）工程技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招5人,1-1.5万/月,03-02发布
运维工程师,深圳唯修汇科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招若干人,1-1.5万/月,03-02发布
前端开发工程师,和美（深圳）信息技术股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-2万/月,03-02发布
自动化测试工程师,深圳易财信息技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,6-8千/月,03-02发布
线控底盘控制系统软件开发工程师,江西龙创汽车技术有限公司深圳分公司,深圳-坪山区  |  2年经验  |  大专  |  招若干人,1.5-2万/月,03-02发布
Odoo 开发工程师,深圳市嘉友智控科技有限公司,深圳-宝安区  |  2年经验  |  大专  |  招3人,1-1.5万/月,03-02发布
运维工程师,深圳市智造建筑信息科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1.2万/月,03-02发布
图像/AI算法工程师,上海为旌科技有限公司,深圳-福田区  |  2年经验  |  硕士  |  招若干人,2-4万/月,03-01发布
图像算法工程师,北京阿丘机器人科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招若干人,2-2.5万/月,03-01发布
BI数据工程师,深圳瑞捷工程咨询股份有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-01发布
售后运维工程师,深圳市康汇世纪科技有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,6-8千/月,03-01发布
语音分析研发岗位,技德技术研究所（武汉）有限公司,深圳-宝安区  |  2年经验  |  硕士  |  招2人,1.5-2.5万/月,03-01发布
总公司-精算部-准备金管理岗,亚太财产保险有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1-2万/月,03-01发布
运维工程师,深圳价值网络科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1-2万/月,03-01发布
系统运维工程师,深圳新语餐饮管理有限公司,深圳-福田区  |  1年经验  |  大专  |  招1人,1.3-2.5万/月,03-01发布
数据分析专员,三态电子商务股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-01发布
深度学习算法工程师,锋睿领创（珠海）科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招3人,1.5-3万/月,03-01发布
测试工程师,深圳市图元科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,0.7-1万/月,03-01发布
BI工程师,惠州南旋毛织厂有限公司,异地招聘  |  2年经验  |  本科  |  招2人,1-1.5万/月,02-28发布
技术管理部技术经理1,三峡电能（广东）有限公司,深圳-福田区  |  1年经验  |  本科  |  招若干人,10-15万/年,02-28发布
CAD工程师,深圳市紫光同创电子有限公司,深圳  |  2年经验  |  本科  |  招2人,1.5-3.5万/月,02-28发布
系统测试,普联技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招30人,1.2-3万/月,02-28发布
系统支持岗（基金绩效分析方向）,安信证券股份有限公司,异地招聘  |  2年经验  |  硕士  |  招1人,1.5-2万/月,02-27发布
图像处理工程师,深圳市安车检测股份有限公司,深圳-南山区  |  2年经验  |  硕士  |  招1人,1.5-3万/月,02-27发布
FPGA开发工程师,铭珈资本管理（深圳）有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,2-3.5万/月,02-26发布
web后台开发工程师,深圳市人渔科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招3人,1.5-2万/月,02-26发布
应急响应工程师（双休，五险一金）,广州竞远安全技术股份有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,0.6-2万/月,02-26发布
软件测试工程师,深圳深海创新技术有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.7-1万/月,02-26发布
信息安全工程师,北京独创时代科技有限公司,深圳  |  2年经验  |  本科  |  招若干人,0.8-1万/月,02-26发布
运维工程师,深圳华文教育科技有限公司,深圳-宝安区  |  1年经验  |  大专  |  招3人,0.7-1.1万/月,02-26发布
集成测试,中兴软件技术（南昌）有限公司,深圳  |  1年经验  |  本科  |  招1人,0.7-1万/月,02-26发布
信息技术专员,深圳市大工业区水务有限公司,深圳-坪山区  |  2年经验  |  本科  |  招1人,0.5-1万/月,02-26发布
模型算法工程师,深圳市城市规划设计研究院有限公司,深圳-福田区  |  1年经验  |  硕士  |  招若干人,15-20万/年,02-26发布
数据分析师,深圳茂业商厦有限公司,深圳-罗湖区  |  1年经验  |  硕士  |  招若干人,1-1.5万/月,02-26发布
运维开发工程师SZ,通联数据股份公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.5-3万/月,02-26发布
NLP工程师,深圳城安软通科技集团有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,02-26发布
软件测试工程师,海纳英才信息技术（深圳）有限公司,深圳-南山区  |  2年经验  |  本科  |  招3人,1-1.5万/月,02-26发布
数据库管理,仅一（广州）科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招5人,1-1.5万/月,02-25发布
仿真设计工程师,湖南宏大日晟航天动力技术有限公司,异地招聘  |  2年经验  |  硕士  |  招2人,0.6-1.2万/月,02-25发布
UE4开发工程师,上海六感科技有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,02-25发布
系统测试,深圳市普联技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招33人,1.2-3万/月,02-24发布
GIS系统维护岗,深圳市信息管线有限公司,深圳  |  1年经验  |  本科  |  招1人,12-18万/年,02-24发布
安全防护工程师,深圳称意家具服务有限公司,深圳-宝安区  |  2年经验  |  本科  |  招若干人,1-1.5万/月,02-24发布
CI持续集成,上海科之锐人才咨询有限公司,深圳  |  2年经验  |  本科  |  招2人,1.3-1.8万/月,02-23发布
高级数据挖掘工程师,深圳数位传媒科技有限公司,深圳-南山区  |  2年经验  |  硕士  |  招1人,2-3.5万/月,02-23发布
数据库管理工程师,招商期货有限公司,深圳  |  2年经验  |  本科  |  招1人,25-40万/年,02-23发布
财务信息化专员,蛇口集装箱码头有限公司,深圳  |  2年经验  |  本科  |  招1人,10-16万/年,02-23发布
噪音振动测试工程师l,东莞市达润轨道交通科技有限公司,异地招聘  |  2年经验  |  本科  |  招3人,0.8-2万/月,02-23发布
电气工程师,深圳安腾创新科技有限公司,深圳-宝安区  |  2年经验  |  大专  |  招1人,1-1.5万/月,02-23发布
金融科技分析师,诺丁汉（宁波保税区）区块链有限公司,异地招聘  |  2年经验  |  硕士  |  招1人,15-20万/年,02-23发布
数字验证工程师1307,北京兆易创新科技股份有限公司,异地招聘  |  1年经验  |  本科  |  招若干人,,02-23发布
软件测试工程师,深圳市汇合发展有限公司,深圳-南山区  |  1年经验  |  本科  |  招5人,0.8-1.3万/月,02-23发布
数据分析师,深圳市顺丰国际物流有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-23发布
数据分析师(J10531),林氏木业,异地招聘  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-22发布
IT技术支持,AAC Technologies Holdings Inc.,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.2万/月,02-22发布
